study,source_file,object_ref,match_pattern,replacement,expected_matches,approval_status,source_pdf_page,verification_note,candidate_text,classification,review_priority,ledger_status,recommended_action,object_label,action
study_50,supplementary_material,#/tables/10,,,,approved,,,,,,,,,exclude
study_04,main_paper,#/texts/11,0\.2\s+m\s+g\b,0.2 μg,1,approved,1,Source PDF visually verified: PFOS advisory value is 0.2 μg/L.,0.2 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/11,0\.4\s+m\s+g\b,0.4 μg,1,approved,1,Source PDF visually verified: PFOA advisory value is 0.4 μg/L.,0.4 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/11,50\s+m\s+g\b,50 μg,1,approved,1,Source PDF visually verified: PFOS guideline value is 50 μg/L.,50 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/46,150\s+m\s+m\b,150 μm,1,approved,3,Source PDF visually verified: AquaNC particle-diameter range ends at 150 μm.,150 m m,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/46,44\s+m\s+min(?=diameter),44 μm in,1,approved,3,Source PDF visually verified: BPL particle diameter is about 44 μm in diameter.,44 m m,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/46,9\s+m\s+m\s+in\b,9 μm in,1,approved,3,Source PDF visually verified: ACF20 particle diameter is about 9 μm in diameter.,9 m m,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/tables/1,\b(C\s+s|v\s+0)\s+m\s+g\b,\1 μg,4,approved,4,Source PDF visually verified: Table 2 headers express both Cs and v0 in μg units.,m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,table,
study_04,main_paper,#/tables/1,\bk\s+mg\s+m\s+g\b,k mg μg,2,approved,4,Source PDF visually verified: Table 2 k headers use mg μg−1 h−1 units.,m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,table,
study_04,main_paper,#/tables/2,(?<![A-Za-z])m\ g\b,μg,7,approved,4,Source PDF visually verified: Table 3 units are μg and Docling lost the micro sign.,m g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_04,main_paper,#/texts/57,0\.2\s+m\s+g\b,0.2 μg,1,approved,4,Source PDF visually verified: PFOS guideline value is 0.2 μg/L.,0.2 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/57,0\.3\s+m\s+g\b,0.3 μg,1,approved,4,Source PDF visually verified: adsorption coefficient uses Ce = 0.3 μg/L.,0.3 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_04,main_paper,#/texts/57,0\.4\s+m\s+g\b,0.4 μg,1,approved,4,Source PDF visually verified: PFOA guideline value is 0.4 μg/L.,0.4 m g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
